Ticker
FREN.JK 
FUJI.JK 
GAMA.JK 
GDST.JK 
GDYR.JK 
GEMA.JK 
GEMS.JK 
GGRM.JK 
GGRP.JK 
GHON.JK 
GIAA.JK 
GJTL.JK 
GLOB.JK 
GLVA.JK 
GMFI.JK 
GMTD.JK 
GOLD.JK 
GOLL.JK 
GOOD.JK 
GOTO.JK 
GPRA.JK 
GPSO.JK 
GSMF.JK 
GTBO.JK 
GTSI.JK 
GULA.JK 
GWSA.JK 
GZCO.JK 
HADE.JK 
HAIS.JK 
HATM.JK 
HDFA.JK 
HDIT.JK 
HDTX.JK 
HEAL.JK 
HELI.JK 
HERO.JK 
HEXA.JK 
HITS.JK 
HKMU.JK 
HMSP.JK 
HOKI.JK 
HOME.JK 
HOMI.JK 
HOPE.JK 
HOTL.JK 
HRME.JK 
HRTA.JK 
HRUM.JK 
IATA.JK 
IBFN.JK 
IBOS.JK 
IBST.JK 
ICBP.JK 
ICON.JK 
IDEA.JK 
IDPR.JK 
IFII.JK 
IFSH.JK 
IGAR.JK 
IIKP.JK 
IKAI.JK 
IKAN.JK 
IKBI.JK 
IMAS.JK 
IMJS.JK 
IMPC.JK 
INAF.JK 
INAI.JK 
INCF.JK 
INCI.JK 
INCO.JK 
INDF.JK 
INDO.JK 
INDR.JK 
INDS.JK 
INDX.JK 
INDY.JK 
INKP.JK 
INOV.JK 
INPC.JK 
INPP.JK 
INPS.JK 
INRU.JK 
INTA.JK 
INTD.JK 
INTP.JK 
IPAC.JK 
IPCC.JK 
IPCM.JK 
IPOL.JK 
IPPE.JK 
IPTV.JK 
IRRA.JK 
ISAT.JK 
ISSP.JK 
ITIC.JK 
ITMA.JK 
ITMG.JK 
JARR.JK 
JAST.JK 
JAWA.JK 
JAYA.JK 
JECC.JK 
JGLE.JK 
JIHD.JK 
JK ON.JK 
JK SW.JK 
JMAS.JK 
JPFA.JK 
JRPT.JK 
JSKY.JK 
JSMR.JK 
JSPT.JK 
JTPE.JK 
KAEF.JK 
KARW.JK 
KAYU.JK 
KBAG.JK 
KBLI.JK 
KBLM.JK 
KBLV.JK 
KBRI.JK 
KDSI.JK 
KEEN.JK 
KEJU.JK 
KIAS.JK 
KICI.JK 
KIJA.JK 
KINO.JK 
KIOS.JK 
KJEN.JK 
KKES.JK 
KKGI.JK 
KLBF.JK 
KLIN.JK 
KMDS.JK 
KMTR.JK 
KOBX.JK 
KOIN.JK 
KONI.JK 
KOPI.JK 
KOTA.JK 
KPAL.JK 
KPAS.JK 
KPIG.JK 
KRAH.JK 
KRAS.JK 
KREN.JK 
KRYA.JK 
KUAS.JK 
LABA.JK 
LAND.JK 
LAPD.JK 
LCGP.JK 
LCKM.JK 
LEAD.JK 
LFLO.JK 
LIFE.JK 
LINK.JK 
LION.JK 
LMAS.JK 
LMPI.JK 
LMSH.JK 
LPCK.JK 
LPGI.JK 
LPIN.JK 
LPKR.JK 
LPLI.JK 
LPPF.JK 
LPPS.JK 
LRNA.JK 
LSIP.JK 
LTLS.JK 
LUCK.JK 
LUCY.JK 
MABA.JK 
MAGP.JK 
MAIN.JK 
